27,4260375,MINNESOTA
30,807830,MONTANA
38,574482,NORTH DAKOTA
15,1092188,HAWAII
16,1228736,IDAHO
53,5529689,WASHINGTON
04,5182784,ARIZONA
06,30204466,CALIFORNIA
08,4149445,COLORADO
32,2218135,NEVADA
35,1605103,NEW MEXICO
41,3172406,OREGON
49,2104847,UTAH
56,452920,WYOMING
05,2292681,ARKANSAS
19,2420369,IOWA
20,2201966,KANSAS
29,4717479,MISSOURI
31,1435363,NEBRASKA
40,2950098,OKLAHOMA
46,648328,SOUTH DAKOTA
22,3554454,LOUISIANA
48,20138539,TEXAS
09,2864299,CONNECTICUT
25,5445357,MASSACHUSETTS
33,1079541,NEW HAMPSHIRE
44,852855,RHODE ISLAND
50,514265,VERMONT
01,3787162,ALABAMA
12,16002140,FLORIDA
13,7692298,GEORGIA
28,2273592,MISSISSIPPI
45,3774508,SOUTH CAROLINA
17,10064248,ILLINOIS
18,5095193,INDIANA
21,3425028,KENTUCKY
37,7710307,NORTH CAROLINA
39,9090874,OHIO
47,5122756,TENNESSEE
51,6454959,VIRGINIA
55,4534797,WISCONSIN
54,1481670,WEST VIRGINIA
10,739724,DELAWARE
11,544324,DISTRICT OF COLUMBIA
24,4684980,MARYLAND
34,7061220,NEW JERSEY
36,15758953,NEW YORK
42,10204066,PENNSYLVANIA
23,1088363,MAINE
26,7848850,MICHIGAN
02,544897,ALASKA
72,2851326,PUERTO RICO
